SKU,Nombre,Precio,Marca,Laboratorio,Codigo_Barras_1,Codigo_Barras_2,Codigo_Barras_3,Codigo_Barras_4,Categoria,Es_Medicamento
43532,Fabogesic Rap.Acc.Cap 600X20,17090.2,Savant Consumer,Savant Consumer,7798032935140,7798032935133,,,Medicamentos Bajo Receta,true
43533,Barex Unipeg Sob X30,157887,Dominguez,Dominguez,7795327064080,,,,Medicamentos Bajo Receta,true
43542,Toallitas Femeninas Always Platinum Ultrafina Día 8 Un,712.07,ALWAYS,PROCTER & GAMBLE,7506295383130,,,,Protección Femenina,
43543,Toallitas Femeninas Always Platinum Nocturno 8 Un,1323.91,ALWAYS,PROCTER & GAMBLE,7506295383123,,,,Protección Femenina,
43544,Toallitas Femeninas Always Ultrafina Platinum Nocturna 8 Un,990.81,ALWAYS,PROCTER & GAMBLE,7506295383154,,,,Protección Femenina,
43547,Toallitas Femeninas Always Suave Maxi Protección 16 Unidades,210.85,ALWAYS,PROCTER & GAMBLE,7500435167772,7506195129845,7506339391558,,Protección Femenina,
43557,Mascara de Pestañas Maybelline  The Colossal Go Extreme  Black WTP ,25868.1,MAYBELLINE,MAYBELLINE,41554197044,30108493,,,Ojos,
43558,Mascara de Pestañas Maybelline  The Colossal Go Extreme Intense Black WSH,25868.1,MAYBELLINE,MAYBELLINE,41554050905,30108417,,,Ojos,
43567,Calciraquiferol Cap X30,20009,Roemmers,Roemmers,7795345013930,,,,Medicamentos Bajo Receta,true
43586,Cicaplast B5 Balsamo x 100Ml,76322.6,LA ROCHE POSAY,LA ROCHE,3337875816847,3337872413018,,,Antiage,
43588,Domeka Com 50X10,29796.5,Rossmore Pharma S.A,Rossmore Pharma S.A,7798161930139,,,,Medicamentos Bajo Receta,true
43589,Amapoli Com X28,31508,Bernabo-Microsu,BERNABO-MICROSU,7792175009423,,,,Medicamentos Bajo Receta,true
43603,Caladryl Incoloro Aerosol X90,16459.4,Caladryl,ELEA-PHOENIX OTC,7796285275402,,,,Medicamentos Bajo Receta,true
43605,Factor Ag Antiespamodico Got X30,19082.8,Casasco,Casasco,7791909105202,,,,Medicamentos Bajo Receta,true
43611,Leche Infantil Vital Polvo Etapa 2 Nutri-Plus x800gr,40690,Vital,KASD,7795323774846,7795323002239,,,Leches y Alimentos,true
43613,Bucotricin Caramelos Antibioticos X9,5670,Monserrat,Monserrat,7795334256089,,,,Medicamentos Bajo Receta,true
43614,Toallitas Humedas Dulces Sueños X48 Un.,8917.43,JOHNSON S,JOHN,7891010568764,,,,Higiene y Cuidado del Bebé,
43615,Lefanteril Com X20,15683.5,Fecofar,Fecofar,7798006300011,,,,Medicamentos Bajo Receta,true
43616,Hinds Flowers Antitranspirante 60 Gr,2402.27,HINDS,GLAXO PERFUMERIA,7794640171376,,,,Desodorantes Femeninos,
43617,Mamadera Bebefantitos Clasica Tetina Silicona x140ml,6022.22,Bebefantitos,Atucha,7793066261029,,,,Mamaderas,
43618,Dercolina Jalea X20,22522.4,Casasco,Casasco,7791909406453,,,,Medicamentos Bajo Receta,true
43619,Dercolina Infantil Jalea X20,20706.9,Casasco,Casasco,7791909406859,,,,Medicamentos Bajo Receta,true
43622,Toallas Primer Extra Cuidado X96 Un.,742.49,JOHNSON S,JOHN,7891010589615,,,,Higiene y Cuidado del Bebé,
4364,Enromic Com X30,26676.6,Microsules Arg.,Microsules Arg.,7791829008461,,,,Medicamentos Bajo Receta,true
43653,Balanza Cocina Silfab Utra Slim Bc300,37247,SILFAB,SILFAB,7798028883851,7798028882144,,,Diagnóstico y Monitoreo,
43654,Balanza Cocina Silfab Con Recipiente Bc301,39211.8,SILFAB,SILFAB,7798028882151,,,,Diagnóstico y Monitoreo,
43662,Laragon Com 150X30,17655,Roemmers,Roemmers,7795345001920,,,,Medicamentos Bajo Receta,true
43679,Terbenol Ud Sob X30,56768.6,Bernabo-Microsu,BERNABO-MICROSU,7792175009454,,,,Medicamentos Bajo Receta,true
43685,Xiclovir Com 400X20,18295.1,Lazar,Lazar,7795347965787,,,,Medicamentos Bajo Receta,true
43686,"Gadopril Com 2,5X60",7517.3,Gador,Gador,7792183487916,,,,Medicamentos Bajo Receta,true
43687,Apatrix Cap 30X15,1148.33,Nycomed,Nycomed,7795300000906,,,,Medicamentos Bajo Receta,true
43692,Tintura Wella Koleston - Coloración Permanente - 98 Plata,6396.81,Koleston,WELLA,7501078231042,,,,Coloración Permanente,
43695,Tintura Wella Koleston -Tubo De Coloración Permanente 120 Rubio Claro Especial,6654.32,Koleston,WELLA,726669012290,,,,Coloración Permanente,
43696,Tintura Wella Koleston -Tubo De Coloración Permanente 121 Rubio Ceniza Claro,6654.32,Koleston,WELLA,726669012252,,,,Coloración Permanente,
43698,Tintura Wella Koleston -Tubo De Coloración Permanente 6646 Rojo Cereza,6654.32,Koleston,WELLA,3614228801362,4068359040807,,,Coloración Permanente,
437,Alcon Lagrimas Gotas X15,2313.24,Alcon,Alcon,7792086057544,7795306434293,7896548158722,,Medicamentos Bajo Receta,true
43704,Yasminelle Com 21+7,44560.2,Bayer,Bayer,7795320000504,,,,Medicamentos Bajo Receta,true
43714,Dosulfin Forte Com X14,17434,Nova Argentia,Nova Argentia,7795345123547,7798129414091,7795380001817,,Medicamentos Bajo Receta,true
43728,Antitranspirante Rexona Men Antibacterial En Aerosol x150ml,3639.83,Rexona,UNILEVER,7791293049458,7791293025537,,,Desodorantes Masculinos,
